,Unnamed: 0,State,District,Name,Party,Incumbent,Winner,Vote_Percentage,Raised,Spent,MaxSpentPer
291,291,IN,6,Greg Pence,R,1,True,68.7,3114448.0,2804148.0,True
292,292,IN,6,Jeannine Lee Lake,D,1,False,27.7,143089.0,145315.0,False
293,293,IN,7,Andre Carson,D,1,True,62.4,1011635.0,873962.0,True
294,294,IN,7,Susan Marie Smith,R,1,False,37.6,62905.0,59843.0,False
295,295,IN,8,Larry Bucshon,R,1,True,66.9,1051336.0,1078646.0,True
296,296,IN,8,Thomasina Marsili,D,1,False,29.8,68734.0,68480.0,False
297,297,IN,9,Trey Hollingsworth,R,1,True,60.9,1166754.0,501136.0,True
298,298,IN,9,Andy Ruff,D,1,False,34.8,148263.0,134906.0,False
299,299,IA,1,Abby Finkenauer,D,1,False,48.7,5901441.0,5875405.0,True
300,300,IA,1,Ashley Hinson,R,1,True,51.3,5175883.0,5059211.0,False
301,301,IA,2,Rita Hart,D,1,False,50.0,4232992.0,4114400.0,True
302,302,IA,2,Mariannette Miller-Meeks,R,1,True,50.0,2174194.0,1721926.0,False
303,303,IA,3,Cindy Axne,D,1,True,49.0,6236976.0,6236994.0,True
304,304,IA,3,David Young,R,1,False,47.6,3170072.0,3094582.0,False
305,305,IA,4,J.D. Scholten,D,1,False,62.1,2885915.0,2902003.0,True
306,306,IA,4,Randy Feenstra,R,1,True,37.9,1906234.0,1894288.0,False
307,307,KS,1,Tracey Mann,R,1,True,71.4,1403353.0,1127156.0,True
308,308,KS,1,Kali Barnett,D,1,False,28.6,603036.0,592924.0,False
309,309,KS,2,Michelle De La Isla,D,1,False,40.5,1825085.0,1810968.0,True
310,310,KS,2,Jake Laturner,R,1,True,55.3,1593407.0,1578460.0,False
311,311,KS,3,Sharice Davids,D,1,True,53.4,5638552.0,5168034.0,True
312,312,KS,3,Amanda Adkins,R,1,False,43.8,2182382.0,2139673.0,False
313,313,KS,4,Ron Estes,R,1,True,64.0,1993808.0,1420188.0,True
314,314,KS,4,Laura Lombard,D,1,False,36.0,264459.0,258684.0,False
315,315,KY,1,James Comer,R,1,True,75.0,736116.0,502554.0,True
316,316,KY,2,Brett Guthrie,R,1,True,71.0,1412797.0,1566622.0,True
317,317,KY,2,Hank Linderman,D,1,False,26.3,93388.0,71122.0,False
318,318,KY,3,John Yarmuth,D,1,True,62.7,658295.0,690226.0,True
319,319,KY,3,Rhonda Palazzo,R,1,False,37.3,46144.0,45668.0,False
320,320,KY,4,Thomas Massie,R,1,True,67.1,1457316.0,1563275.0,True
