,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
210,FL,24,Lavern Spicer,R,False,False,20.4,"$34,973","$34,909"
211,FL,24,Christine Olivo,I,False,False,4.0,"$31,646","$32,898"
212,FL,25,Mario Diaz-Balart,R,True,True,100.0,"$1,590,134","$804,054"
213,FL,26,Debbie Mucarsel-Powell,D,True,False,48.3,"$6,793,521","$6,822,740"
214,FL,26,Carlos Gimenez,R,False,True,51.7,"$2,226,559","$2,187,389"
215,FL,27,Donna Shalala,D,True,False,48.6,"$3,842,907","$3,735,966"
216,FL,27,Maria Salazar,R,False,True,51.4,"$3,654,190","$3,645,814"
217,GA,01,Buddy Carter,R,True,True,58.4,"$2,315,487","$1,734,754"
218,GA,01,Joyce Griggs,D,False,False,41.7,"$130,043","$125,000"
219,GA,02,Sanford Bishop,D,True,True,59.1,"$1,540,683","$1,440,571"
220,GA,02,Don Cole,R,False,False,40.9,"$164,274","$162,522"
221,GA,03,Drew Ferguson,R,True,True,65.0,"$2,374,212","$2,150,911"
222,GA,03,Val Almonord,D,False,False,35.0,"$35,762","$31,946"
223,GA,04,Hank Johnson,D,True,True,80.1,"$628,303","$490,360"
224,GA,04,Johsira C. Cruz,R,False,False,19.9,"$12,954","$23,146"
225,GA,05,Nikema Williams,D,False,True,85.2,"$553,964","$362,801"
226,GA,05,Angela Stanton-King,R,False,False,14.9,"$305,279","$301,338"
227,GA,06,Lucy McBath,D,True,True,54.6,"$8,507,298","$8,586,054"
228,GA,06,Karen Handel,R,False,False,45.4,"$3,026,243","$3,072,932"
229,GA,07,Carolyn Bourdeaux,D,False,True,54.4,"$5,133,244","$5,161,230"
230,GA,07,Richard McCormick,R,False,False,48.6,"$2,595,446","$2,563,724"
231,GA,08,Austin Scott,R,True,True,64.5,"$821,745","$716,159"
232,GA,09,Andrew Clyde,R,False,True,78.6,"$1,569,425","$1,561,316"
233,GA,09,Devin Pandy,D,False,False,21.4,"$84,272","$84,623"
