State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Max Raised Candidate,Max Spent Candidate,Money_Difference
LA,3,Clay Higgins,R,True,True,67.8,751498.0,720424.0,True,True,31074.0
LA,4,Mike Johnson,R,True,True,60.4,1299787.0,1039393.0,True,True,260394.0
LA,6,Garret Graves,R,True,True,71.1,1743015.0,1200287.0,True,True,542728.0
ME,1,Chellie Pingree,D,True,True,61.5,487080.0,264790.0,True,True,222290.0
ME,2,Jared Golden,D,True,True,52.9,5272142.0,5233990.0,True,True,38152.0
MD,1,Andy Harris,R,True,True,63.5,1468096.0,973953.0,True,True,494143.0
MD,2,Dutch Ruppersberger,D,True,True,67.2,1012835.0,927353.0,True,True,85482.0
MD,3,John Sarbanes,D,True,True,69.5,573599.0,687299.0,True,True,-113700.0
MD,4,Anthony Brown,D,True,True,79.3,1446636.0,846827.0,True,True,599809.0
MD,5,Steny H Hoyer,D,True,True,68.5,4587189.0,4342255.0,True,True,244934.0
MD,6,David Trone,D,True,True,57.9,2944893.0,2959748.0,True,True,-14855.0
MD,7,Kweisi Mfume,D,True,True,71.6,1014126.0,713389.0,False,False,300737.0
MD,8,Jamie Raskin,D,True,True,67.3,2072652.0,1399252.0,True,True,673400.0
MA,1,Richard E Neal,D,True,True,96.5,4949384.0,5873122.0,True,True,-923738.0
MA,2,James P McGovern,D,True,True,65.3,1052549.0,1089412.0,True,True,-36863.0
MA,3,Lori Trahan,D,True,True,97.7,1449303.0,1232437.0,True,True,216866.0
MA,4,Jake Auchincloss,D,False,True,60.8,2608686.0,2150904.0,True,True,457782.0
MA,5,Katherine Clark,D,True,True,74.3,1788706.0,1514877.0,True,True,273829.0
MA,6,Seth Moulton,D,True,True,65.4,1289805.0,1802169.0,True,True,-512364.0
MA,7,Ayanna Pressley,D,True,True,86.6,2163370.0,1748432.0,True,True,414938.0
MA,8,Stephen Lynch,D,True,True,80.7,905614.0,1134662.0,True,True,-229048.0
MA,9,Bill Keating,D,True,True,61.3,708680.0,652448.0,True,True,56232.0
MI,1,John Bergman,R,True,True,61.6,1868512.0,1733466.0,True,True,135046.0
MI,2,Bill Huizenga,R,True,True,59.2,2175411.0,1883610.0,True,True,291801.0
MI,3,Peter Meijer,R,False,True,53.0,2975972.0,2887774.0,False,False,88198.0
MI,4,John Moolenaar,R,True,True,65.0,1528612.0,1036160.0,True,True,492452.0
MI,5,Dan Kildee,D,True,True,54.5,1669951.0,1504094.0,True,True,165857.0
MI,6,Fred Upton,R,True,True,55.8,3616380.0,3464617.0,True,True,151763.0
MI,7,Tim Walberg,R,True,True,58.8,2301635.0,1586358.0,True,False,715277.0
MI,8,Elissa Slotkin,D,True,True,50.9,8967420.0,7419974.0,True,True,1547446.0
MI,9,Andy Levin,D,True,True,57.8,1316607.0,907237.0,True,True,409370.0
MI,10,Lisa McClain,R,False,True,66.3,2266287.0,2137031.0,True,True,129256.0
MI,11,Haley Stevens,D,True,True,50.2,5776924.0,5707448.0,True,True,69476.0
MI,12,Debbie Dingell,D,True,True,66.4,1630498.0,1689582.0,True,True,-59084.0
MI,13,Rashida Tlaib,D,True,True,77.9,4014411.0,3690334.0,True,True,324077.0
MI,14,Brenda Lawrence,D,True,True,78.9,1084662.0,789570.0,True,True,295092.0
MN,1,Jim Hagedorn,R,True,True,48.6,2386033.0,2305994.0,False,False,80039.0
MN,2,Angie Craig,D,True,True,48.2,5380101.0,4435492.0,True,True,944609.0
MN,3,Dean Phillips,D,True,True,55.6,2328616.0,2152031.0,True,True,176585.0
MN,4,Betty McCollum,D,True,True,63.2,1171748.0,994072.0,True,True,177676.0
MN,5,Ilhan Omar,D,True,True,64.3,5718517.0,5605576.0,False,False,112941.0
MN,6,Tom Emmer,R,True,True,65.5,2804265.0,2537612.0,True,True,266653.0
MN,7,Michelle Fischbach,R,False,True,53.4,2618450.0,2580501.0,False,False,37949.0
MN,8,Pete Stauber,R,True,True,56.7,2593190.0,2608759.0,True,True,-15569.0
MS,1,Trent Kelly,R,True,True,68.7,876882.0,826673.0,True,True,50209.0
MS,2,Bennie G Thompson,D,True,True,66.0,1377392.0,1096904.0,True,True,280488.0
MS,3,Michael Guest,R,True,True,64.7,766807.0,518162.0,True,True,248645.0
MS,4,Steven Palazzo,R,True,True,100.0,817129.0,747217.0,True,True,69912.0
MO,1,Cori Bush,D,False,True,78.8,1418014.0,1333512.0,True,True,84502.0
MO,2,Ann Wagner,R,True,True,52.0,5598287.0,6513101.0,True,True,-914814.0
MO,3,Blaine Luetkemeyer,R,True,True,69.4,2022905.0,2081391.0,True,True,-58486.0
MO,4,Vicky Hartzler,R,True,True,67.6,1700978.0,1335607.0,True,True,365371.0
MO,5,Emanuel Cleaver,D,True,True,58.5,1393847.0,928061.0,True,True,465786.0
MO,6,Sam Graves,R,True,True,67.1,1959516.0,1654756.0,True,True,304760.0
MO,7,Billy Long,R,True,True,68.7,1320420.0,1518234.0,True,True,-197814.0
MO,8,Jason Smith,R,True,True,76.9,1900227.0,1514786.0,True,True,385441.0
MT,1,Matt Rosendale,R,False,True,56.4,3674706.0,3488045.0,False,False,186661.0
NE,1,Jeff Fortenberry,R,True,True,59.5,1472816.0,2458330.0,True,True,-985514.0
NE,2,Don Bacon,R,True,True,50.6,3749272.0,3713961.0,False,False,35311.0
NE,3,Adrian Smith,R,True,True,78.5,1506473.0,1148409.0,True,True,358064.0
NV,1,Dina Titus,D,True,True,61.8,706193.0,587919.0,True,True,118274.0
NV,2,Mark Amodei,R,True,True,56.5,1048056.0,1016673.0,True,True,31383.0
NV,3,Susie Lee,D,True,True,48.8,4748019.0,4732009.0,True,True,16010.0
NV,4,Steven Horsford,D,True,True,50.7,3492372.0,3024427.0,True,True,467945.0
NH,1,Chris Pappas,D,True,True,51.3,3205731.0,3105663.0,True,True,100068.0
NH,2,Ann Kuster,D,True,True,53.9,2960033.0,2970274.0,True,True,-10241.0
NJ,1,Don Norcross,D,True,True,62.5,2221989.0,1087264.0,True,True,1134725.0
NJ,2,Jeff Van Drew,R,True,True,51.9,4229171.0,4041493.0,False,False,187678.0
NJ,3,Andy Kim,D,True,True,53.2,7241283.0,6753262.0,True,True,488021.0
NJ,4,Chris Smith,R,True,True,59.9,1383085.0,1284522.0,True,True,98563.0
NJ,5,Josh Gottheimer,D,True,True,53.2,7694027.0,3487964.0,True,True,4206063.0
NJ,6,Frank Pallone Jr.,D,True,True,61.2,3231755.0,2021737.0,True,True,1210018.0
NJ,7,Tom Malinowski,D,True,True,50.6,7414403.0,7423758.0,True,True,-9355.0
NJ,8,Albio Sires,D,True,True,74.0,605810.0,551325.0,True,True,54485.0
NJ,9,Bill Pascrell Jr.,D,True,True,65.8,1560550.0,1795410.0,True,True,-234860.0
NJ,10,Donald M Payne Jr.,D,True,True,83.3,593735.0,457252.0,True,True,136483.0
NJ,11,Mikie Sherrill,D,True,True,53.3,6419707.0,3733106.0,True,True,2686601.0
NJ,12,Bonnie Watson Coleman,D,True,True,65.6,798439.0,840651.0,True,True,-42212.0
NM,1,Debra Haaland,D,True,True,58.1,2246734.0,1875766.0,True,True,370968.0
NM,2,Yvette Herrell,R,False,True,53.7,2805711.0,2921785.0,False,False,-116074.0
NM,3,Teresa Leger Fernandez,D,False,True,58.7,2296594.0,2132010.0,True,True,164584.0
NY,1,Lee Zeldin,R,True,True,55.9,8396981.0,8250116.0,True,True,146865.0
NY,2,Andrew Garbarino,R,False,True,52.9,1743986.0,1612132.0,False,False,131854.0
NY,3,Tom Suozzi,D,True,True,53.2,2941006.0,2331302.0,True,True,609704.0
NY,4,Kathleen Rice,D,True,True,52.0,1106258.0,1210410.0,True,True,-104152.0
NY,5,Gregory Meeks,D,True,True,99.0,2097572.0,1467454.0,True,True,630118.0
NY,6,Grace Meng,D,True,True,62.6,1292084.0,1872311.0,True,True,-580227.0
NY,7,Nydia Velazquez,D,True,True,83.0,803217.0,676248.0,True,True,126969.0
NY,8,Hakeem Jeffries,D,True,True,82.5,4168717.0,3293077.0,True,True,875640.0
NY,9,Yvette Clarke,D,True,True,81.5,1200067.0,1190143.0,True,True,9924.0
NY,10,Jerrold Nadler,D,True,True,68.5,1848688.0,1950774.0,True,True,-102086.0
NY,11,Nicole Malliotakis,R,False,True,57.8,3469995.0,3447052.0,False,False,22943.0
NY,12,Carolyn Maloney,D,True,True,78.9,3067173.0,3059202.0,True,True,7971.0
NY,13,Adriano Espaillat,D,True,True,86.0,1087237.0,1252740.0,True,True,-165503.0
NY,14,Alexandria Ocasio-Cortez,D,True,True,68.7,20664795.0,16735422.0,True,True,3929373.0
NY,15,Ritchie Torres,D,False,True,88.2,2194025.0,1804336.0,True,True,389689.0
NY,16,Jamaal Bowman,D,False,True,82.9,2878898.0,2801424.0,True,True,77474.0
NY,17,Mondaire Jones,D,False,True,54.1,2984052.0,2186463.0,True,True,797589.0
NY,18,Sean Patrick Maloney,D,True,True,51.8,2556294.0,1718525.0,True,True,837769.0
NY,19,Antonio Delgado,D,True,True,51.5,5949475.0,2963286.0,True,True,2986189.0
NY,20,Paul Tonko,D,True,True,56.5,1541984.0,1418994.0,True,True,122990.0
NY,21,Elise Stefanik,R,True,True,64.4,13287248.0,11655936.0,True,True,1631312.0
NY,23,Tom Reed,R,True,True,57.7,3275177.0,3145027.0,True,True,130150.0
NY,24,John Katko,R,True,True,53.1,3821107.0,3597234.0,True,True,223873.0
NY,25,Joseph D Morelle,D,True,True,59.3,1375366.0,1274426.0,True,True,100940.0
NY,26,Brian Higgins,D,True,True,69.8,1124168.0,984106.0,True,True,140062.0
NY,27,Chris Jacobs,R,True,True,59.7,2147101.0,2084271.0,True,True,62830.0
NC,1,G K Butterfield,D,True,True,54.2,1032869.0,880420.0,False,False,152449.0
NC,2,Deborah Ross,D,False,True,63.0,2268381.0,1816923.0,True,True,451458.0
NC,3,Greg Murphy,R,True,True,63.4,1767790.0,1505559.0,True,True,262231.0
NC,4,David Price,D,True,True,67.3,1161738.0,1014872.0,True,True,146866.0
NC,5,Virginia Foxx,R,True,True,66.9,1858388.0,1944629.0,True,True,-86241.0
