,Year,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
142,2018,CO,05,Stephany Rose Spaulding,D,False,False,39.3,"$367,702","$326,518"
143,2018,CO,06,Mike Coffman,R,True,False,42.9,"$3,752,316","$3,768,929"
144,2018,CO,06,Jason Crow,D,False,True,54.1,"$5,685,930","$5,640,620"
145,2018,CO,07,Ed Perlmutter,D,True,True,60.4,"$1,750,017","$1,340,326"
146,2018,CO,07,Mark Barrington,R,False,False,35.4,"$54,957","$54,957"
147,2018,CT,01,John Larson,D,True,True,60.6,"$1,604,275","$1,669,104"
148,2018,CT,02,Joe Courtney,D,True,True,68.0,"$1,145,994","$1,018,476"
149,2018,CT,03,Rosa DeLauro,D,True,True,60.4,"$1,297,847","$1,296,699"
150,2018,CT,04,Jim Himes,D,True,True,61.2,"$2,005,609","$1,683,480"
151,2018,CT,04,Harry Arora,R,False,False,37.4,"$713,073","$713,073"
152,2018,CT,05,Jahana Hayes,D,False,True,52.8,"$1,850,568","$1,294,101"
153,2018,CT,05,Manny Santos,R,False,False,42.5,"$75,830","$75,746"
154,2018,DE,01,Lisa Blunt Rochester,D,True,True,64.5,"$1,314,379","$1,193,959"
155,2018,FL,01,Matt Gaetz,R,True,True,67.1,"$1,278,061","$1,195,040"
156,2018,FL,01,Jennifer Zimmerman,D,False,False,32.9,"$62,277","$65,474"
157,2018,FL,02,Neal Dunn,R,True,True,67.4,"$1,334,320","$961,089"
158,2018,FL,02,Bob Rackleff,D,False,False,32.6,"$259,104","$257,163"
159,2018,FL,03,Ted Yoho,R,True,True,57.6,"$911,782","$780,863"
160,2018,FL,03,Yvonne Hayes Hinson,D,False,False,42.4,"$47,262","$62,700"
161,2018,FL,04,John Rutherford,R,True,True,65.2,"$805,304","$441,574"
162,2018,FL,04,Ges Selmont,D,False,False,32.4,"$111,212","$110,603"
163,2018,FL,04,Joceline Berrios,I,False,False,1.9,"$9,931","$9,931"
164,2018,FL,05,Al Lawson,D,True,True,66.8,"$545,840","$576,823"
165,2018,FL,05,Virginia Fuller,R,False,False,33.2,"$40,564","$40,413"
166,2018,FL,06,Nancy Soderberg,D,False,False,43.7,"$3,203,735","$3,183,648"
167,2018,FL,06,Michael Waltz,R,False,True,56.3,"$2,032,503","$1,980,942"
168,2018,FL,07,Stephanie Murphy,D,True,True,57.7,"$3,190,877","$3,117,029"
169,2018,FL,07,Mike Miller,R,False,False,42.3,"$1,121,344","$1,087,194"
170,2018,FL,08,Bill Posey,R,True,True,60.5,"$924,991","$1,084,252"
171,2018,FL,08,Sanjay Patel,D,False,False,39.5,"$336,735","$336,765"
172,2018,FL,09,Darren Soto,D,True,True,58.0,"$1,502,940","$1,525,686"
173,2018,FL,09,Wayne Liebnitzky,R,False,False,42.0,"$61,174","$61,175"
174,2018,FL,10,Val Demings,D,True,True,100.0,"$834,715","$839,180"
175,2018,FL,11,Daniel Webster,R,True,True,65.1,"$603,084","$524,027"
176,2018,FL,11,Dana Cottrell,D,False,False,34.8,"$87,600","$87,364"
177,2018,FL,12,Gus Bilirakis,R,True,True,58.1,"$2,021,336","$2,093,125"
178,2018,FL,12,Chris Hunter,D,False,False,39.7,"$764,759","$755,054"
179,2018,FL,12,Angelika Purkis,I,False,False,2.2,"$21,214","$18,736"
180,2020,AL,01,Jerry Carl,R,False,True,64.9,"$1,971,321","$1,859,349"
181,2020,AL,01,James Averhart,D,False,False,35.0,"$80,095","$78,973"
182,2020,AL,02,Barry Moore,R,False,True,65.3,"$650,807","$669,368"
183,2020,AL,02,Phyllis Harvey-Hall,D,False,False,34.6,"$56,050","$55,988"
184,2020,AL,03,Mike D Rogers,R,True,True,67.5,"$1,193,111","$1,218,564"
185,2020,AL,03,Adia Winfrey,D,False,False,32.4,"$50,273","$40,971"
186,2020,AL,04,Robert B Aderholt,R,True,True,82.5,"$1,255,076","$1,323,812"
187,2020,AL,05,Mo Brooks,R,True,True,95.8,"$655,365","$210,045"
188,2020,AL,06,Gary Palmer,R,True,True,97.1,"$907,219","$909,082"
189,2020,AL,07,Terri Sewell,D,True,True,97.2,"$2,168,165","$1,495,957"
190,2020,AK,01,Don Young,R,True,True,54.4,"$1,922,901","$1,790,448"
191,2020,AK,01,Alyse Galvin,I,False,False,45.3,"$5,178,452","$5,088,103"
192,2020,AZ,01,Tom O'Halleran,D,True,True,51.6,"$3,381,353","$3,324,138"
193,2020,AZ,01,Tiffany Shedd,R,False,False,48.4,"$1,675,618","$1,615,704"
194,2020,AZ,02,Ann Kirkpatrick,D,True,True,55.1,"$1,849,862","$1,384,765"
195,2020,AZ,02,Brandon Martin,R,False,False,44.9,"$374,821","$381,067"
196,2020,AZ,03,Raul M Grijalva,D,True,True,64.6,"$843,560","$655,507"
197,2020,AZ,03,Daniel Wood,R,False,False,35.4,"$41,422","$41,962"
198,2020,AZ,04,Paul Gosar,R,True,True,69.8,"$622,151","$729,892"
199,2020,AZ,04,Delina DiSanto,D,False,False,30.2,"$77,168","$79,758"
200,2020,AZ,05,Andy Biggs,R,True,True,58.9,"$1,602,181","$1,236,380"
201,2020,AZ,05,Joan Greene,D,False,False,41.1,"$356,069","$209,789"
202,2020,AZ,06,David Schweikert,R,True,True,52.2,"$2,265,329","$2,249,979"
203,2020,AZ,06,Hiral Tipirneni,D,False,False,47.8,"$6,301,073","$6,366,702"
204,2020,AZ,07,Ruben Gallego,D,True,True,76.7,"$1,811,754","$1,653,961"
205,2020,AZ,07,Josh Barnett,R,False,False,23.3,"$28,093","$17,883"
206,2020,AZ,08,Debbie Lesko,R,True,True,59.6,"$1,605,245","$987,453"
207,2020,AZ,08,Michael Muscato,D,False,False,40.4,"$357,906","$347,734"
208,2020,AZ,09,Greg Stanton,D,True,True,61.6,"$2,001,619","$1,001,350"
209,2020,AZ,09,Dave Giles,R,False,False,38.4,"$130,480","$129,935"
210,2020,AR,01,Rick Crawford,R,True,True,100.0,"$966,801","$1,095,518"
211,2020,AR,02,French Hill,R,True,True,55.4,"$3,384,490","$3,020,491"
212,2020,AR,02,Joyce Elliott,D,False,False,44.6,"$3,482,463","$3,478,733"
213,2020,AR,03,Steve Womack,R,True,True,64.3,"$1,127,158","$923,120"
214,2020,AR,03,Celeste Williams,D,False,False,31.8,"$355,294","$355,294"
215,2020,AR,04,Bruce Westerman,R,True,True,69.7,"$1,407,770","$1,102,573"
216,2020,AR,04,William Hanson,D,False,False,27.5,"$109,767","$111,683"
217,2020,CA,01,Doug LaMalfa,R,True,True,56.9,"$1,219,556","$1,155,945"
